simulated,observed
256577,504005
277715,547583
278898,563171
301905,590986
306733,596893
322182,606702
323626,607254
328900,608886
345658,611064
352362,611980
353176,613294
358370,616003
364873,621177
369611,625810
371533,630106
376655,631135
377828,633380
378335,635695
384176,640569
389099,642877
390975,644976
391065,646569
394054,648742
394056,649544
395060,652321
396578,657932
405523,659714
407078,664548
408407,665112
410583,665505
414267,666828
415167,667993
415644,669041
421065,669938
422250,673151
424520,673444
425746,675615
428541,676243
430154,679005
430332,680740
432853,681749
433731,682394
434426,683847
436305,684480
441408,689297
445066,691398
454959,694608
456309,695039
456385,695917
457481,696027
459564,697614
468754,698994
471029,699180
471714,700137
477973,703299
478148,704464
482818,706819
484357,706928
485046,707096
485726,707175
486355,708855
487894,712193
490763,712358
495855,712737
497960,715752
499450,716469
502178,717466
503515,717677
503528,718454
509814,719631
513579,720931
513708,721832
514437,723263
521408,723640
529609,724794
529645,726778
530575,726834
530935,726839
533634,728360
534891,729119
536875,729661
540820,730533
542120,731467
542315,732101
545393,732981
546299,734264
547751,734992
549567,735444
550250,735504
550320,735950
550458,736648
552170,737378
554018,738042
554738,739613
555036,740871
555181,741866
559161,742106
559215,742128
561052,742772
563286,744059
563658,744849
568753,746007
571391,749515
574132,749769
577229,751392
578961,751542
580692,752241
580899,752326
581234,752589
582278,753057
583089,754478
583972,754600
586183,754677
587572,755372
588242,755387
588695,755884
589072,757522
589415,759013
590220,760679
595308,760806
598086,760907
601909,761353
602281,761526
602463,761690
602672,762590
603044,762914
603957,763826
605787,764284
605846,764617
613583,764713
614008,765448
616276,765551
617414,766041
617865,767388
618357,767411
618437,767602
619737,768055
620142,768334
621274,768456
621730,768559
622748,770404
624956,770953
626461,770963
629994,772940
630920,773618
631631,774336
633927,774592
634803,775685
635189,776823
636887,778444
641017,778518
641426,779007
641857,779269
642511,779948
643622,780333
644519,780808
644527,782253
646047,782343
646575,782379
646991,783590
647138,783868
648901,784182
649076,785774
653394,786687
656126,787805
659440,788090
659445,788816
663484,789383
663793,789533
663840,789837
665845,790038
666943,791473
669036,791878
670411,791932
672330,792089
672654,792183
672755,792895
672780,793657
674397,793791
674490,794098
674790,794565
674938,795809
676480,796212
677386,796781
677922,797145
678087,798305
678154,798340
679136,798625
679870,799145
680620,801382
681600,801709
684816,802745
685814,802887
685853,803457
686412,804558
687452,804986
687951,806201
688326,806327
688952,806832
690206,806939
694222,808019
694283,808689
695431,808783
696000,809730
698234,809827
700202,812264
704624,812922
705138,813128
707704,813908
709173,814009
709718,814196
709992,814973
712507,816177
713508,816233
713781,816398
713839,816421
715266,817279
717023,817765
723000,819702
723208,820379
724061,821848
725214,823893
726033,824049
728393,825625
728414,829304
728627,829830
728905,830567
732235,830941
733109,831060
735156,833140
