observed,simulated
852133,324204
867180,342674
897244,343254
939758,356412
941962,381673
955663,382002
962920,406341
968175,417273
1009008,425404
1012561,431040
1017295,438389
1018592,483785
1032090,488276
1037578,506863
1061652,507426
1062576,508839
1065128,515683
1065799,527018
1067718,531319
1068230,535657
1070355,536337
1076434,538948
1079029,539407
1080287,542275
1084931,544287
1085715,556991
1088183,557060
1092283,557124
1092295,559480
1093622,565092
1096545,568274
1098687,570255
1098687,585816
1100638,591210
1101093,591282
1103744,593153
1104489,594496
1106408,599025
1110206,599693
1119641,609586
1123027,615227
1124940,618347
1126876,623326
1130778,624842
1130911,630401
1131594,633597
1132671,635254
1133075,637324
1136979,641745
1142962,642288
1146268,644750
1146588,645075
1148863,645376
1158166,646312
1158773,651894
1160410,653524
1162465,655160
1162684,657605
1163325,658340
1165563,660531
1166875,670435
1166908,671171
1169605,675557
1172825,680167
1173023,690449
1174422,690958
1178310,691015
1179869,694559
1185071,695058
1188528,696105
1192559,696650
1198310,696655
1199424,697463
1200488,700549
1200787,701526
1200862,709834
1204061,711738
1204716,713052
1210741,713245
1213216,713944
1216167,715141
1217875,716768
1219414,717025
1220376,717923
1221169,718781
1226666,718971
1227327,723441
1228370,724354
1229614,725233
1229697,733764
1233929,736369
1235969,737894
1236535,739086
1236830,742944
1237337,744608
1239248,745731
1239658,748336
1243748,749431
1245034,750769
1245209,752977
1246137,753241
1248114,759752
1248812,760259
1249788,767496
1250062,768079
1251200,768168
1251721,773427
1252530,774574
1252614,775062
1255555,775885
1256625,780659
1257725,782368
1261995,786536
1263760,788328
1265945,788653
1265994,789769
1266478,792414
1267732,793345
1268630,794411
1269488,798777
1269904,801615
1270293,803980
1270822,804271
1274192,805085
1278183,805857
1282915,809200
1285423,809477
1286933,810187
1287422,811334
1287494,812225
1287769,813170
1288864,813913
1288921,814962
1290131,816736
1290272,820122
1293166,822053
1293862,825398
1295202,825493
1295712,825504
1296028,825778
1301401,826133
1301613,827640
1302343,828511
1302678,829648
1303726,830272
1304993,832606
1305189,836006
1306592,836270
1307789,837872
1314346,840059
