obs,individual
301,3201
307,4250
743,6678
1332,12641
1400,13267
1553,13428
1824,14350
2065,14398
2383,17192
2580,17583
2687,18600
3158,19754
3170,20067
4025,20599
4086,20825
4665,22423
4923,22472
4943,23752
5058,24715
5157,25071
5166,25100
5256,25594
5327,25625
5958,26243
6085,26315
6284,26920
6354,27200
6488,27628
7404,27838
7408,28005
7557,28555
8627,28617
8684,28670
8915,28772
9045,29653
9075,30211
9335,30307
9529,30496
10612,30987
11485,31049
12861,31162
12990,31205
13229,31567
13471,31695
14538,31870
14578,32172
14888,32210
15902,33354
15920,33486
17433,33602
17701,33606
17996,33619
18019,34005
19070,34115
20295,34235
21156,34313
21931,34921
21966,35153
22664,35199
22915,35705
24412,35750
25028,36022
25278,36366
25335,36460
25860,36703
26099,36796
26977,36856
27369,36916
28979,37973
29784,38258
30299,38336
30502,38377
31195,38395
31282,38664
31807,38921
32801,38988
34157,39461
35610,40004
35859,40141
36024,40158
37198,40260
37279,40538
37677,40718
37965,40742
38926,40839
39026,40860
39371,41829
39452,42108
39707,42551
39744,42669
41082,42764
41328,43193
41444,43205
41572,43334
41623,43402
41891,43616
42240,43743
42501,43768
43307,43942
45872,44046
46484,44173
46626,44270
46878,44400
46884,44554
47262,44929
47458,44930
47686,45469
48093,45722
49496,45772
49594,45897
49933,46376
50230,46398
51164,47514
51587,47574
52368,47997
53066,48008
53177,48017
54388,48137
54398,48880
54549,48880
54977,48972
55021,49182
55445,49344
56183,49458
56232,49730
57228,49741
57355,50152
57561,50406
57890,51047
58996,51181
60010,51297
60718,51329
61072,52207
61521,52227
61962,52249
62450,52368
62747,52800
63001,53115
63327,53115
63686,53134
63891,53223
63932,53318
65161,53330
65613,53520
65726,53965
65787,53969
66020,54209
67387,54270
68812,54417
69899,54417
70155,54605
70214,54695
70312,54827
70490,54900
70930,55008
71084,55104
71094,55124
72169,55124
72267,55433
72576,55896
72691,55896
72996,55935
73564,56007
75275,56112
75513,56121
75813,56129
76369,56233
77521,57049
77695,57288
77827,57370
78046,57370
78494,57516
83474,57516
