obs,sim1,sim2
301,3201,801
307,4250,2092
743,6678,4799
1332,12641,4800
1400,13267,5938
1553,13428,6091
1824,14350,6547
2065,14398,7200
2383,17192,7200
2580,17583,7201
2687,18600,7201
3158,19754,7493
3170,20067,8000
4025,20599,8050
4086,20825,8800
4665,22423,8980
4923,22472,10190
4943,23752,10658
5058,24715,10813
5157,25071,11090
5166,25100,11090
5256,25594,11231
5327,25625,11241
5958,26243,11489
6085,26315,11996
6284,26920,11999
6354,27200,12001
6488,27628,12453
7404,27838,12541
7408,28005,13108
7557,28555,13221
8627,28617,13600
8684,28670,14988
8915,28772,15153
9045,29653,15388
9075,30211,15430
9335,30307,15596
9529,30496,15885
10612,30987,15999
11485,31049,16174
12861,31162,16555
12990,31205,16769
13229,31567,16801
13471,31695,16979
14538,31870,17186
14578,32172,17466
14888,32210,17571
15902,33354,17601
15920,33486,18231
17433,33602,18272
17701,33606,18398
17996,33619,19088
18019,34005,19315
19070,34115,19496
20295,34235,19552
21156,34313,19693
21931,34921,19736
21966,35153,19862
22664,35199,19872
22915,35705,20175
24412,35750,20746
25028,36022,20763
25278,36366,20799
25335,36460,21013
25860,36703,21242
26099,36796,21254
26977,36856,21349
27369,36916,21381
28979,37973,21467
29784,38258,21495
30299,38336,21600
30502,38377,21640
31195,38395,21933
31282,38664,21981
31807,38921,22085
32801,38988,22426
34157,39461,22615
35610,40004,22975
35859,40141,23034
36024,40158,23048
37198,40260,23447
37279,40538,23500
37677,40718,23511
37965,40742,24093
38926,40839,24120
39026,40860,24217
39371,41829,24303
39452,42108,24352
39707,42551,24368
39744,42669,24398
41082,42764,24401
41328,43193,24489
41444,43205,24553
41572,43334,24598
41623,43402,24600
41891,43616,24706
42240,43743,24727
42501,43768,24783
43307,43942,24906
45872,44046,24969
46484,44173,25121
46626,44270,25282
46878,44400,25375
46884,44554,25507
47262,44929,25551
47458,44930,25854
47686,45469,25890
48093,45722,26197
49496,45772,26858
49594,45897,27001
49933,46376,27118
50230,46398,27444
51164,47514,27536
51587,47574,27577
52368,47997,27589
53066,48008,28192
53177,48017,28262
54388,48137,28299
54398,48880,28545
54549,48880,28733
54977,48972,28763
55021,49182,28799
55445,49344,28800
56183,49458,28888
56232,49730,28993
57228,49741,29187
57355,50152,29346
57561,50406,29383
57890,51047,29438
58996,51181,29469
60010,51297,29563
60718,51329,29613
61072,52207,29663
61521,52227,29735
61962,52249,29915
